# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:12:55.699366
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9955589480258136,13689,1,0.0
1-1,0.9955589480258136,221,1,0.0
1-1,0.9955589480258136,114,1,0.0
1-1,0.9955589480258136,61,1,0.0
1-1,0.9955589480258136,32,1,0.0
1-1,0.9955589480258136,18,1,0.0
1-1,0.9955589480258136,15,1,0.0
1-1,0.9955589480258136,11,2,0.0
1-1,0.9955589480258136,10,1,0.0
1-1,0.9955589480258136,9,2,0.0
1-1,0.9955589480258136,6,3,0.0
1-1,0.9955589480258136,5,4,0.0
1-1,0.9955589480258136,4,4,0.0
1-1,0.9955589480258136,3,15,0.0
1-1,0.9955589480258136,2,24,0.0
