# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:12:19.340429
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9950537492580623,14295,1,0.0
1-1,0.9950537492580623,377,1,0.0
1-1,0.9950537492580623,135,1,0.0
1-1,0.9950537492580623,23,1,0.0
1-1,0.9950537492580623,15,1,0.0
1-1,0.9950537492580623,13,2,0.0
1-1,0.9950537492580623,11,1,0.0
1-1,0.9950537492580623,10,1,0.0
1-1,0.9950537492580623,7,3,0.0
1-1,0.9950537492580623,6,5,0.0
1-1,0.9950537492580623,5,5,0.0
1-1,0.9950537492580623,4,6,0.0
1-1,0.9950537492580623,3,16,0.0
1-1,0.9950537492580623,2,24,0.0
