# Gyration Radius Results
# Date: 2025-04-04 17:12:19.339501
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9950537492580623,14295,53.302303842172364,0.0
1-1,0.9950537492580623,377,10.396124601799176,0.0
1-1,0.9950537492580623,135,5.584183032205715,0.0
1-1,0.9950537492580623,23,4.635280175592214,0.0
1-1,0.9950537492580623,15,2.6280537792569363,0.0
1-1,0.9950537492580623,13,1.7744428252919664,0.0
1-1,0.9950537492580623,11,1.5798315633620699,0.0
1-1,0.9950537492580623,10,1.4832396974191326,0.0
1-1,0.9950537492580623,7,1.7973785601564367,0.0
1-1,0.9950537492580623,6,1.203789229433721,0.0
1-1,0.9950537492580623,5,0.9983844652745517,0.0
1-1,0.9950537492580623,4,0.905107225242148,0.0
1-1,0.9950537492580623,3,0.7415816237971964,0.0
1-1,0.9950537492580623,2,0.5,0.0
