# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:11:27.454124
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9864481563189411,7310,1,0.0
1-1,0.9864481563189411,267,1,0.0
1-1,0.9864481563189411,263,1,0.0
1-1,0.9864481563189411,223,1,0.0
1-1,0.9864481563189411,132,1,0.0
1-1,0.9864481563189411,97,1,0.0
1-1,0.9864481563189411,85,1,0.0
1-1,0.9864481563189411,64,1,0.0
1-1,0.9864481563189411,60,1,0.0
1-1,0.9864481563189411,49,1,0.0
1-1,0.9864481563189411,44,1,0.0
1-1,0.9864481563189411,30,1,0.0
1-1,0.9864481563189411,28,2,0.0
1-1,0.9864481563189411,27,4,0.0
1-1,0.9864481563189411,23,2,0.0
1-1,0.9864481563189411,22,1,0.0
1-1,0.9864481563189411,19,1,0.0
1-1,0.9864481563189411,17,1,0.0
1-1,0.9864481563189411,15,2,0.0
1-1,0.9864481563189411,14,1,0.0
1-1,0.9864481563189411,13,2,0.0
1-1,0.9864481563189411,11,3,0.0
1-1,0.9864481563189411,9,5,0.0
1-1,0.9864481563189411,8,4,0.0
1-1,0.9864481563189411,7,4,0.0
1-1,0.9864481563189411,6,8,0.0
1-1,0.9864481563189411,5,7,0.0
1-1,0.9864481563189411,4,13,0.0
1-1,0.9864481563189411,3,29,0.0
1-1,0.9864481563189411,2,34,0.0
