# Gyration Radius Results
# Date: 2025-04-04 17:13:21.109845
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9694176790950985,5887,41.38962205168493,0.0
1-1,0.9694176790950985,56,9.30004045964427,0.0
1-1,0.9694176790950985,50,4.260422514258416,0.0
1-1,0.9694176790950985,48,4.102315572400002,0.0
1-1,0.9694176790950985,38,3.2120358832421934,0.0
1-1,0.9694176790950985,36,3.061776160340607,0.0
1-1,0.9694176790950985,33,5.368513447791526,0.0
1-1,0.9694176790950985,27,2.3088070185938814,0.0
1-1,0.9694176790950985,25,2.478709341572747,0.0
1-1,0.9694176790950985,24,2.720804619552418,0.0
1-1,0.9694176790950985,22,2.214247628876109,0.0
1-1,0.9694176790950985,17,1.9107514860015025,0.0
1-1,0.9694176790950985,14,2.292444611445988,0.0
1-1,0.9694176790950985,13,2.120622884936957,0.0
1-1,0.9694176790950985,12,1.9336346296718592,0.0
1-1,0.9694176790950985,11,1.7627926754241197,0.0
1-1,0.9694176790950985,10,1.7913984945875825,0.0
1-1,0.9694176790950985,9,1.906129457781485,0.0
1-1,0.9694176790950985,8,1.3259711684891895,0.0
1-1,0.9694176790950985,7,1.4307086913236164,0.0
1-1,0.9694176790950985,6,1.1661241046748745,0.0
1-1,0.9694176790950985,5,1.0552704702630684,0.0
1-1,0.9694176790950985,4,0.8803903746621498,0.0
1-1,0.9694176790950985,3,0.7166099714203532,0.0
1-1,0.9694176790950985,2,0.5,0.0
