# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:12:09.846575
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9961175446817057,14107,1,0.0
1-1,0.9961175446817057,268,1,0.0
1-1,0.9961175446817057,135,1,0.0
1-1,0.9961175446817057,32,1,0.0
1-1,0.9961175446817057,20,1,0.0
1-1,0.9961175446817057,19,2,0.0
1-1,0.9961175446817057,16,1,0.0
1-1,0.9961175446817057,15,1,0.0
1-1,0.9961175446817057,13,2,0.0
1-1,0.9961175446817057,12,4,0.0
1-1,0.9961175446817057,11,1,0.0
1-1,0.9961175446817057,8,1,0.0
1-1,0.9961175446817057,7,1,0.0
1-1,0.9961175446817057,6,2,0.0
1-1,0.9961175446817057,5,4,0.0
1-1,0.9961175446817057,4,8,0.0
1-1,0.9961175446817057,3,16,0.0
1-1,0.9961175446817057,2,19,0.0
