# Gyration Radius Results
# Date: 2025-04-04 17:45:24.105973
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9769148322202985,13,1.6839772844273355,0.0
1-1,0.9769148322202985,9,1.3052600138300812,0.0
1-1,0.9769148322202985,8,1.088874087717386,0.0
1-1,0.9769148322202985,6,1.0137937550497031,0.0
1-1,0.9769148322202985,5,1.019803902718557,0.0
1-1,0.9769148322202985,4,0.8533586596851748,0.0
1-1,0.9769148322202985,3,0.6866439885681411,0.0
1-1,0.9769148322202985,2,0.5,0.0
