# Gyration Radius Results
# Date: 2025-04-04 17:14:42.765388
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9619704433497537,1435,20.832853045813998,0.0
1-1,0.9619704433497537,693,15.386005169768188,0.0
1-1,0.9619704433497537,235,8.37053618127141,0.0
1-1,0.9619704433497537,177,9.099487014200646,0.0
1-1,0.9619704433497537,141,5.565708744380384,0.0
1-1,0.9619704433497537,136,6.204958810566791,0.0
1-1,0.9619704433497537,132,6.036595430318982,0.0
1-1,0.9619704433497537,106,5.1737091076843775,0.0
1-1,0.9619704433497537,104,6.109546075973064,0.0
1-1,0.9619704433497537,78,4.4544225598701725,0.0
1-1,0.9619704433497537,75,5.969403469173263,0.0
1-1,0.9619704433497537,67,6.89322832905005,0.0
1-1,0.9619704433497537,62,3.9727545048592288,0.0
1-1,0.9619704433497537,60,6.54664884586848,0.0
1-1,0.9619704433497537,58,4.276035869660203,0.0
1-1,0.9619704433497537,48,6.276575444106089,0.0
1-1,0.9619704433497537,45,4.729836997687273,0.0
1-1,0.9619704433497537,43,4.558851391969435,0.0
1-1,0.9619704433497537,37,2.769709897179876,0.0
1-1,0.9619704433497537,27,2.804073071221881,0.0
1-1,0.9619704433497537,26,3.215393816696441,0.0
1-1,0.9619704433497537,25,2.6371678720816347,0.0
1-1,0.9619704433497537,24,3.25702125902874,0.0
1-1,0.9619704433497537,23,2.7221697117388746,0.0
1-1,0.9619704433497537,21,2.8055046725326473,0.0
1-1,0.9619704433497537,20,3.2825295124339706,0.0
1-1,0.9619704433497537,17,2.8888361884181295,0.0
1-1,0.9619704433497537,16,3.1467989687935263,0.0
1-1,0.9619704433497537,15,2.0724545471044262,0.0
1-1,0.9619704433497537,13,2.444459187967678,0.0
1-1,0.9619704433497537,12,1.734608540321943,0.0
1-1,0.9619704433497537,10,1.9398962018581698,0.0
1-1,0.9619704433497537,9,1.6240497703795973,0.0
1-1,0.9619704433497537,8,1.4950820716081041,0.0
1-1,0.9619704433497537,7,1.4986518815862868,0.0
1-1,0.9619704433497537,6,1.2094627793841568,0.0
1-1,0.9619704433497537,5,1.1315671844818451,0.0
1-1,0.9619704433497537,4,0.9168361748277297,0.0
1-1,0.9619704433497537,3,0.7528188673667758,0.0
1-1,0.9619704433497537,2,0.5,0.0
