# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:14:38.384115
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.8481927710843373,38,1,0.0
1-1,0.8481927710843373,30,1,0.0
1-1,0.8481927710843373,25,1,0.0
1-1,0.8481927710843373,19,1,0.0
1-1,0.8481927710843373,14,1,0.0
1-1,0.8481927710843373,12,2,0.0
1-1,0.8481927710843373,10,2,0.0
1-1,0.8481927710843373,8,3,0.0
1-1,0.8481927710843373,7,1,0.0
1-1,0.8481927710843373,6,4,0.0
1-1,0.8481927710843373,5,2,0.0
1-1,0.8481927710843373,4,7,0.0
1-1,0.8481927710843373,3,17,0.0
1-1,0.8481927710843373,2,19,0.0
