# Connectivity_type : 1-1
# Concentration Average_cluster_size Standard_deviation
0.8078602620087336 0.0 0.0
0.9002079002079002 0.0 0.0
0.8808988764044944 0.0 0.0
0.8879120879120879 0.0 0.0
0.8644859813084113 0.0 0.0
0.8481927710843373 0.0 0.0
0.8305084745762712 0.0 0.0
0.7922077922077922 0.0 0.0
0.9197002141327623 0.0 0.0
0.9404525605398968 0.0 0.0
0.9455703532136653 0.0 0.0
0.9619704433497537 0.0 0.0
0.9577988473693995 0.0 0.0
0.9864481563189411 0.0 0.0
0.993697640458074 0.0 0.0
0.9934494566026499 0.0 0.0
0.9968384232476792 0.0 0.0
0.9961359093937375 0.0 0.0
0.9961175446817057 0.0 0.0
0.9950537492580623 0.0 0.0
0.9961240310077519 0.0 0.0
0.9945619736056768 0.0 0.0
0.9950215731828742 0.0 0.0
0.9955589480258136 0.0 0.0
0.994241289951051 0.0 0.0
0.9933592001193852 0.0 0.0
0.9913551786596411 0.0 0.0
0.9694176790950985 0.0 0.0
0.9542811309404452 0.0 0.0
0.8973105134474327 0.0 0.0
0.7419928825622776 0.0 0.0
