# Connectivity_type : 1-1
# Concentration Average_cluster_size Standard_deviation
0.8078602620087336 64.0 0.0
0.9002079002079002 60.0 0.0
0.8808988764044944 44.0 0.0
0.8879120879120879 54.0 0.0
0.8644859813084113 59.0 0.0
0.8481927710843373 38.0 0.0
0.8305084745762712 51.0 0.0
0.7922077922077922 36.0 0.0
0.9197002141327623 874.0 0.0
0.9404525605398968 895.0 0.0
0.9455703532136653 2304.0 0.0
0.9619704433497537 1435.0 0.0
0.9577988473693995 972.0 0.0
0.9864481563189411 7310.0 0.0
0.993697640458074 11739.0 0.0
0.9934494566026499 12492.0 0.0
0.9968384232476792 14079.0 0.0
0.9961359093937375 14190.0 0.0
0.9961175446817057 14107.0 0.0
0.9950537492580623 14295.0 0.0
0.9961240310077519 14465.0 0.0
0.9945619736056768 14270.0 0.0
0.9950215731828742 14308.0 0.0
0.9955589480258136 13689.0 0.0
0.994241289951051 13520.0 0.0
0.9933592001193852 13086.0 0.0
0.9913551786596411 11140.0 0.0
0.9694176790950985 5887.0 0.0
0.9542811309404452 3191.0 0.0
0.8973105134474327 462.0 0.0
0.7419928825622776 49.0 0.0
