# Connectivity_type : 1-1
# Concentration Average_cluster_size Standard_deviation
0.8078602620087336 4.838978669457111 0.0
0.9002079002079002 6.150523968128047 0.0
0.8808988764044944 6.056063013287511 0.0
0.8879120879120879 7.089184653038463 0.0
0.8644859813084113 5.756015670904481 0.0
0.8481927710843373 5.033631919761718 0.0
0.8305084745762712 5.172159958333247 0.0
0.7922077922077922 5.0067608061922435 0.0
0.9197002141327623 23.061992988201037 0.0
0.9404525605398968 20.492025936806332 0.0
0.9455703532136653 34.78305753503072 0.0
0.9619704433497537 27.18107951210069 0.0
0.9577988473693995 20.858866885103502 0.0
0.9864481563189411 73.61024862963517 0.0
0.993697640458074 74.22857014889868 0.0
0.9934494566026499 74.5413110459376 0.0
0.9968384232476792 75.05436675562652 0.0
0.9961359093937375 75.17751186321819 0.0
0.9961175446817057 74.9349773961265 0.0
0.9950537492580623 75.35192976409374 0.0
0.9961240310077519 75.42211830134585 0.0
0.9945619736056768 75.33061079789904 0.0
0.9950215731828742 75.18995322032598 0.0
0.9955589480258136 73.11778144741919 0.0
0.994241289951051 73.76079304514224 0.0
0.9933592001193852 72.76450436440952 0.0
0.9913551786596411 70.82385248351598 0.0
0.9694176790950985 58.517221631327686 0.0
0.9542811309404452 51.194295534193586 0.0
0.8973105134474327 13.263689308565352 0.0
0.7419928825622776 5.051003627907508 0.0
