# Gyration Radius Results
# Date: 2025-04-04 17:44:47.713837
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.7336916234247591,37,2.4085918766660854,0.0
1-1,0.7336916234247591,33,3.020286475627381,0.0
1-1,0.7336916234247591,32,2.9873332330333846,0.0
1-1,0.7336916234247591,30,2.3846732830026562,0.0
1-1,0.7336916234247591,28,2.334304948338313,0.0
1-1,0.7336916234247591,23,2.2195215683652556,0.0
1-1,0.7336916234247591,22,2.2221648293782392,0.0
1-1,0.7336916234247591,20,2.436698586202241,0.0
1-1,0.7336916234247591,19,1.8609500628772473,0.0
1-1,0.7336916234247591,18,2.0212816616955283,0.0
1-1,0.7336916234247591,17,1.981407379570727,0.0
1-1,0.7336916234247591,16,1.8066786287168515,0.0
1-1,0.7336916234247591,15,1.8974622464479143,0.0
1-1,0.7336916234247591,14,1.7121180019028088,0.0
1-1,0.7336916234247591,13,1.676688888805943,0.0
1-1,0.7336916234247591,12,1.5415331196901347,0.0
1-1,0.7336916234247591,11,1.55112981759972,0.0
1-1,0.7336916234247591,10,1.4411175500824271,0.0
1-1,0.7336916234247591,9,1.3770592769624521,0.0
1-1,0.7336916234247591,8,1.2682609786106038,0.0
1-1,0.7336916234247591,7,1.1787136267790645,0.0
1-1,0.7336916234247591,6,1.082532666907047,0.0
1-1,0.7336916234247591,5,0.9579582688518102,0.0
1-1,0.7336916234247591,4,0.8301597684733397,0.0
1-1,0.7336916234247591,3,0.6919097500476061,0.0
1-1,0.7336916234247591,2,0.5,0.0
