# Gyration Radius Results
# Date: 2025-04-04 17:45:17.123752
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9658532379063551,11,1.574591643244434,0.0
1-1,0.9658532379063551,9,1.0540925533894598,0.0
1-1,0.9658532379063551,8,1.159878208168531,0.0
1-1,0.9658532379063551,6,1.007393892460654,0.0
1-1,0.9658532379063551,5,0.8914372844284492,0.0
1-1,0.9658532379063551,4,0.758113883008419,0.0
1-1,0.9658532379063551,3,0.7146122392302057,0.0
1-1,0.9658532379063551,2,0.5,0.0
