# Gyration Radius Results
# Date: 2025-04-04 17:12:37.945320
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9945619736056768,14270,53.283625337924526,0.0
1-1,0.9945619736056768,339,9.896501498052636,0.0
1-1,0.9945619736056768,128,5.244271195418268,0.0
1-1,0.9945619736056768,15,2.6280537792569363,0.0
1-1,0.9945619736056768,13,2.385164141612074,0.0
1-1,0.9945619736056768,11,1.7533910474532646,0.0
1-1,0.9945619736056768,7,1.3895037870159326,0.0
1-1,0.9945619736056768,6,1.2465690767798008,0.0
1-1,0.9945619736056768,5,1.073304096151741,0.0
1-1,0.9945619736056768,4,0.8911473436006432,0.0
1-1,0.9945619736056768,3,0.7358189347871557,0.0
1-1,0.9945619736056768,2,0.5,0.0
