# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:12:37.946441
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9945619736056768,14270,1,0.0
1-1,0.9945619736056768,339,1,0.0
1-1,0.9945619736056768,128,1,0.0
1-1,0.9945619736056768,15,1,0.0
1-1,0.9945619736056768,13,2,0.0
1-1,0.9945619736056768,11,1,0.0
1-1,0.9945619736056768,7,5,0.0
1-1,0.9945619736056768,6,5,0.0
1-1,0.9945619736056768,5,8,0.0
1-1,0.9945619736056768,4,5,0.0
1-1,0.9945619736056768,3,13,0.0
1-1,0.9945619736056768,2,22,0.0
