# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:44:49.278352
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.7738710214964173,48,1,0.0
1-1,0.7738710214964173,45,1,0.0
1-1,0.7738710214964173,44,1,0.0
1-1,0.7738710214964173,39,1,0.0
1-1,0.7738710214964173,38,1,0.0
1-1,0.7738710214964173,37,2,0.0
1-1,0.7738710214964173,35,1,0.0
1-1,0.7738710214964173,33,1,0.0
1-1,0.7738710214964173,31,1,0.0
1-1,0.7738710214964173,29,2,0.0
1-1,0.7738710214964173,27,2,0.0
1-1,0.7738710214964173,26,1,0.0
1-1,0.7738710214964173,25,1,0.0
1-1,0.7738710214964173,24,2,0.0
1-1,0.7738710214964173,23,1,0.0
1-1,0.7738710214964173,22,5,0.0
1-1,0.7738710214964173,21,5,0.0
1-1,0.7738710214964173,20,1,0.0
1-1,0.7738710214964173,19,4,0.0
1-1,0.7738710214964173,18,4,0.0
1-1,0.7738710214964173,17,6,0.0
1-1,0.7738710214964173,16,8,0.0
1-1,0.7738710214964173,15,5,0.0
1-1,0.7738710214964173,14,8,0.0
1-1,0.7738710214964173,13,16,0.0
1-1,0.7738710214964173,12,9,0.0
1-1,0.7738710214964173,11,8,0.0
1-1,0.7738710214964173,10,14,0.0
1-1,0.7738710214964173,9,13,0.0
1-1,0.7738710214964173,8,21,0.0
1-1,0.7738710214964173,7,24,0.0
1-1,0.7738710214964173,6,51,0.0
1-1,0.7738710214964173,5,70,0.0
1-1,0.7738710214964173,4,105,0.0
1-1,0.7738710214964173,3,160,0.0
1-1,0.7738710214964173,2,335,0.0
