# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:13:23.245050
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.7419928825622776,49,1,0.0
1-1,0.7419928825622776,31,1,0.0
1-1,0.7419928825622776,25,1,0.0
1-1,0.7419928825622776,18,1,0.0
1-1,0.7419928825622776,14,1,0.0
1-1,0.7419928825622776,12,1,0.0
1-1,0.7419928825622776,9,2,0.0
1-1,0.7419928825622776,8,3,0.0
1-1,0.7419928825622776,7,1,0.0
1-1,0.7419928825622776,6,4,0.0
1-1,0.7419928825622776,5,7,0.0
1-1,0.7419928825622776,4,4,0.0
1-1,0.7419928825622776,3,20,0.0
1-1,0.7419928825622776,2,42,0.0
