# Gyration Radius Results
# Date: 2025-04-04 18:28:30.477029
# Frames averaged: 11
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
SiO_5-SiO_5,0.08061434450323339,329,19.001238800714134,0.0
SiO_5-SiO_5,0.08061434450323339,109,16.39704369224694,0.0
SiO_5-SiO_5,0.08061434450323339,103,15.216823716486005,0.0
SiO_5-SiO_5,0.08061434450323339,93,10.961210897844893,0.0
SiO_5-SiO_5,0.08061434450323339,79,11.919849351758064,0.0
SiO_5-SiO_5,0.08061434450323339,63,11.36947799110433,0.0
SiO_5-SiO_5,0.08061434450323339,54,10.345286521038954,0.0
SiO_5-SiO_5,0.08061434450323339,41,9.132725468038293,0.0
SiO_5-SiO_5,0.08061434450323339,37,7.641618202358773,0.0
SiO_5-SiO_5,0.08061434450323339,35,11.345647633965427,0.0
SiO_5-SiO_5,0.08061434450323339,28,7.3438423663403825,0.0
SiO_5-SiO_5,0.08061434450323339,27,8.779509602165714,0.0
SiO_5-SiO_5,0.08061434450323339,24,7.2304222527759405,0.0
SiO_5-SiO_5,0.08061434450323339,23,5.887083597029355,0.0
SiO_5-SiO_5,0.08061434450323339,22,6.68747794486355,0.0
SiO_5-SiO_5,0.08061434450323339,21,5.985239154232808,0.0
SiO_5-SiO_5,0.08061434450323339,19,6.196937492261336,0.0
SiO_5-SiO_5,0.08061434450323339,18,5.308411181159427,0.0
SiO_5-SiO_5,0.08061434450323339,16,5.5386207160281,0.0
SiO_5-SiO_5,0.08061434450323339,15,5.054841436475903,0.0
SiO_5-SiO_5,0.08061434450323339,14,4.430487098664685,0.0
SiO_5-SiO_5,0.08061434450323339,13,4.780015119235275,0.0
SiO_5-SiO_5,0.08061434450323339,12,4.6461417248514705,0.0
SiO_5-SiO_5,0.08061434450323339,11,4.865248520016654,0.0
SiO_5-SiO_5,0.08061434450323339,10,4.267944258068631,0.0
SiO_5-SiO_5,0.08061434450323339,9,4.077202792750933,0.0
SiO_5-SiO_5,0.08061434450323339,8,3.589787894126968,0.0
SiO_5-SiO_5,0.08061434450323339,7,3.4883474595468384,0.0
SiO_5-SiO_5,0.08061434450323339,6,3.0318762439098017,0.0
SiO_5-SiO_5,0.08061434450323339,5,2.8233539036379485,0.0
SiO_5-SiO_5,0.08061434450323339,4,2.4661480736515906,0.0
SiO_5-SiO_5,0.08061434450323339,3,1.8867250697638078,0.0
SiO_5-SiO_5,0.08061434450323339,2,1.377836222578757,0.0
