# Cluster Size Distribution ➜ 11 frames averaged.
# Date: 2025-04-04 18:28:30.479603
# Frames averaged: 11
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
SiO_5-SiO_5,0.07910787771898883,413,1,0.0
SiO_5-SiO_5,0.07910787771898883,329,1,0.0
SiO_5-SiO_5,0.07910787771898883,277,1,0.0
SiO_5-SiO_5,0.07910787771898883,276,1,0.0
SiO_5-SiO_5,0.07910787771898883,269,1,0.0
SiO_5-SiO_5,0.07910787771898883,257,1,0.0
SiO_5-SiO_5,0.07910787771898883,249,1,0.0
SiO_5-SiO_5,0.07910787771898883,234,1,0.0
SiO_5-SiO_5,0.07910787771898883,214,1,0.0
SiO_5-SiO_5,0.07910787771898883,209,1,0.0
SiO_5-SiO_5,0.07910787771898883,190,1,0.0
SiO_5-SiO_5,0.07910787771898883,175,1,0.0
SiO_5-SiO_5,0.07910787771898883,126,2,0.0
SiO_5-SiO_5,0.07910787771898883,125,1,0.0
SiO_5-SiO_5,0.07910787771898883,114,1,0.0
SiO_5-SiO_5,0.07910787771898883,110,2,0.0
SiO_5-SiO_5,0.07910787771898883,109,2,0.0
SiO_5-SiO_5,0.07910787771898883,106,1,0.0
SiO_5-SiO_5,0.07910787771898883,103,2,0.0
SiO_5-SiO_5,0.07910787771898883,102,1,0.0
SiO_5-SiO_5,0.07910787771898883,101,1,0.0
SiO_5-SiO_5,0.07910787771898883,99,1,0.0
SiO_5-SiO_5,0.07910787771898883,98,2,0.0
SiO_5-SiO_5,0.07910787771898883,95,2,0.0
SiO_5-SiO_5,0.07910787771898883,94,1,0.0
SiO_5-SiO_5,0.07910787771898883,93,1,0.0
SiO_5-SiO_5,0.07910787771898883,89,1,0.0
SiO_5-SiO_5,0.07910787771898883,87,2,0.0
SiO_5-SiO_5,0.07910787771898883,82,1,0.0
SiO_5-SiO_5,0.07910787771898883,81,1,0.0
SiO_5-SiO_5,0.07910787771898883,80,3,0.0
SiO_5-SiO_5,0.07910787771898883,79,2,0.0
SiO_5-SiO_5,0.07910787771898883,78,3,0.0
SiO_5-SiO_5,0.07910787771898883,77,1,0.0
SiO_5-SiO_5,0.07910787771898883,76,1,0.0
SiO_5-SiO_5,0.07910787771898883,75,2,0.0
SiO_5-SiO_5,0.07910787771898883,74,2,0.0
SiO_5-SiO_5,0.07910787771898883,72,2,0.0
SiO_5-SiO_5,0.07910787771898883,71,1,0.0
SiO_5-SiO_5,0.07910787771898883,70,2,0.0
SiO_5-SiO_5,0.07910787771898883,69,2,0.0
SiO_5-SiO_5,0.07910787771898883,68,1,0.0
SiO_5-SiO_5,0.07910787771898883,66,1,0.0
SiO_5-SiO_5,0.07910787771898883,65,1,0.0
SiO_5-SiO_5,0.07910787771898883,63,1,0.0
SiO_5-SiO_5,0.07910787771898883,61,2,0.0
SiO_5-SiO_5,0.07910787771898883,60,2,0.0
SiO_5-SiO_5,0.07910787771898883,58,1,0.0
SiO_5-SiO_5,0.07910787771898883,57,1,0.0
SiO_5-SiO_5,0.07910787771898883,56,2,0.0
SiO_5-SiO_5,0.07910787771898883,55,1,0.0
SiO_5-SiO_5,0.07910787771898883,54,1,0.0
SiO_5-SiO_5,0.07910787771898883,51,3,0.0
SiO_5-SiO_5,0.07910787771898883,50,1,0.0
SiO_5-SiO_5,0.07910787771898883,49,2,0.0
SiO_5-SiO_5,0.07910787771898883,48,1,0.0
SiO_5-SiO_5,0.07910787771898883,47,1,0.0
SiO_5-SiO_5,0.07910787771898883,46,5,0.0
SiO_5-SiO_5,0.07910787771898883,43,2,0.0
SiO_5-SiO_5,0.07910787771898883,42,1,0.0
SiO_5-SiO_5,0.07910787771898883,41,1,0.0
SiO_5-SiO_5,0.07910787771898883,40,3,0.7071067811865476
SiO_5-SiO_5,0.07910787771898883,39,1,0.0
SiO_5-SiO_5,0.07910787771898883,38,1,0.0
SiO_5-SiO_5,0.07910787771898883,37,5,0.5
SiO_5-SiO_5,0.07910787771898883,36,2,0.0
SiO_5-SiO_5,0.07910787771898883,35,5,0.0
SiO_5-SiO_5,0.07910787771898883,34,2,0.0
SiO_5-SiO_5,0.07910787771898883,33,6,0.44721359549995804
SiO_5-SiO_5,0.07910787771898883,32,3,0.0
SiO_5-SiO_5,0.07910787771898883,31,1,0.0
SiO_5-SiO_5,0.07910787771898883,30,3,0.0
SiO_5-SiO_5,0.07910787771898883,29,1,0.0
SiO_5-SiO_5,0.07910787771898883,28,6,0.5773502691896257
SiO_5-SiO_5,0.07910787771898883,27,11,0.4409585518440984
SiO_5-SiO_5,0.07910787771898883,26,7,0.408248290463863
SiO_5-SiO_5,0.07910787771898883,25,5,0.5
SiO_5-SiO_5,0.07910787771898883,24,4,0.0
SiO_5-SiO_5,0.07910787771898883,23,8,0.5163977794943223
SiO_5-SiO_5,0.07910787771898883,22,16,0.8333333333333334
SiO_5-SiO_5,0.07910787771898883,21,25,1.855921454276674
SiO_5-SiO_5,0.07910787771898883,20,11,0.9759000729485332
SiO_5-SiO_5,0.07910787771898883,19,11,0.9831920802501751
SiO_5-SiO_5,0.07910787771898883,18,17,0.927960727138337
SiO_5-SiO_5,0.07910787771898883,17,10,0.5345224838248488
SiO_5-SiO_5,0.07910787771898883,16,20,0.6666666666666666
SiO_5-SiO_5,0.07910787771898883,15,48,1.689540012709215
SiO_5-SiO_5,0.07910787771898883,14,35,1.2504544628399563
SiO_5-SiO_5,0.07910787771898883,13,49,2.1616492020508957
SiO_5-SiO_5,0.07910787771898883,12,36,1.1908743922772955
SiO_5-SiO_5,0.07910787771898883,11,42,1.7215215257545762
SiO_5-SiO_5,0.07910787771898883,10,35,1.8877596148970779
SiO_5-SiO_5,0.07910787771898883,9,49,1.507556722888818
SiO_5-SiO_5,0.07910787771898883,8,65,2.165850662190053
SiO_5-SiO_5,0.07910787771898883,7,100,2.385562636132007
SiO_5-SiO_5,0.07910787771898883,6,133,2.586679162731453
SiO_5-SiO_5,0.07910787771898883,5,182,1.9164360862620156
SiO_5-SiO_5,0.07910787771898883,4,231,4.494441010848846
SiO_5-SiO_5,0.07910787771898883,3,447,6.0872444878241465
SiO_5-SiO_5,0.07910787771898883,2,938,5.587323314269708
