# Gyration Radius Results
# Date: 2025-04-04 16:50:16.840104
# Frames averaged: 11
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
SiO_5-SiO_6,0.04254850088183421,35,5.712480057475436,0.0
SiO_5-SiO_6,0.04254850088183421,24,5.848422802211355,0.0
SiO_5-SiO_6,0.04254850088183421,22,5.570345067298883,0.0
SiO_5-SiO_6,0.04254850088183421,19,5.0456384907408,0.0
SiO_5-SiO_6,0.04254850088183421,17,5.0074686200890435,0.0
SiO_5-SiO_6,0.04254850088183421,16,4.203131758962966,0.0
SiO_5-SiO_6,0.04254850088183421,15,4.081925731363476,0.0
SiO_5-SiO_6,0.04254850088183421,14,4.203703798929303,0.0
SiO_5-SiO_6,0.04254850088183421,13,4.274709415706682,0.0
SiO_5-SiO_6,0.04254850088183421,12,3.948684441928213,0.0
SiO_5-SiO_6,0.04254850088183421,11,3.978180953118997,0.0
SiO_5-SiO_6,0.04254850088183421,10,3.557905200558624,0.0
SiO_5-SiO_6,0.04254850088183421,9,3.426350902629937,0.0
SiO_5-SiO_6,0.04254850088183421,8,3.2285487343021195,0.0
SiO_5-SiO_6,0.04254850088183421,7,2.8145587058134782,0.0
SiO_5-SiO_6,0.04254850088183421,6,2.621745744009625,0.0
SiO_5-SiO_6,0.04254850088183421,5,2.4016272816447177,0.0
SiO_5-SiO_6,0.04254850088183421,4,2.1882396153421793,0.0
SiO_5-SiO_6,0.04254850088183421,3,1.8202585335608468,0.0
SiO_5-SiO_6,0.04254850088183421,2,1.4330502028038643,0.0
