# Connectivity_type : 1-1
# Concentration Average_cluster_size Standard_deviation
0.1478537360890302 0.2401232303342836 0.0
0.26582278481012656 0.35856330057857483 0.0
0.35054997608799615 0.28349651153871197 0.0
0.4558551902475065 0.5253176666530277 0.0
0.5585689555683785 0.6652098748114462 0.0
0.6053022794846382 1.2681665555898411 0.0
0.693804186931698 1.5225083467729057 0.0
0.7336916234247591 1.8056864349937323 0.0
0.7738710214964173 2.3688221618382093 0.0
0.8192107222635889 4.20288352549881 0.0
0.8506040268456376 5.732831307369056 0.0
0.8744306290779269 6.477023596642299 0.0
0.9078247084135432 4.97937193714027 0.0
0.9124212325109473 4.979501411633858 0.0
0.9421316799527606 2.993906613536915 0.0
0.9565900064653182 1.3782371719485262 0.0
0.9658532379063551 0.9550680419828856 0.0
0.9769148322202985 1.2366181701782666 0.0
0.9778885082528808 0.7553870374657701 0.0
0.9824081602483554 0.7299802253970139 0.0
0.9874796632948999 0.8325078419634815 0.0
0.9916317991631799 0.816496580927726 0.0
0.9942420909620237 1.0350983390135313 0.0
0.9969846153846154 1.0425720702853738 0.0
0.996921619701634 0.7071067811865476 0.0
0.9982389365449071 0.5 0.0
