# Connectivity_type : 1-1
# Concentration Average_cluster_size Standard_deviation
0.1478537360890302 2.096774193548387 0.0
0.26582278481012656 2.4005602240896358 0.0
0.35054997608799615 2.7271487039563436 0.0
0.4558551902475065 3.226904376012966 0.0
0.5585689555683785 3.795454545454546 0.0
0.6053022794846382 5.212853049529266 0.0
0.693804186931698 6.444071929289851 0.0
0.7336916234247591 7.967921192220258 0.0
0.7738710214964173 11.540051679586565 0.0
0.8192107222635889 20.691328849300128 0.0
0.8506040268456376 41.050812687391506 0.0
0.8744306290779269 53.78852080123267 0.0
0.9078247084135432 31.41732513901083 0.0
0.9124212325109473 23.989994734070564 0.0
0.9421316799527606 11.25029515938607 0.0
0.9565900064653182 5.830963665086887 0.0
0.9658532379063551 3.947368421052632 0.0
0.9769148322202985 4.746478873239437 0.0
0.9778885082528808 3.475524475524476 0.0
0.9824081602483554 3.5555555555555562 0.0
0.9874796632948999 2.72972972972973 0.0
0.9916317991631799 2.8125 0.0
0.9942420909620237 2.8 0.0
0.9969846153846154 3.2857142857142856 0.0
0.996921619701634 2.0 0.0
0.9982389365449071 2.0 0.0
0.9989660989280078 0.0 0.0
0.9992087772971833 0.0 0.0
0.9996921814077571 0.0 0.0
0.9998023227081789 0.0 0.0
0.999952182852771 0.0 0.0
0.9998609952738393 0.0 0.0
0.9999552652769079 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
