# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:45:05.569389
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9421316799527606,66,1,0.0
1-1,0.9421316799527606,21,1,0.0
1-1,0.9421316799527606,18,4,0.0
1-1,0.9421316799527606,17,1,0.0
1-1,0.9421316799527606,14,1,0.0
1-1,0.9421316799527606,11,4,0.0
1-1,0.9421316799527606,10,1,0.0
1-1,0.9421316799527606,9,2,0.0
1-1,0.9421316799527606,8,3,0.0
1-1,0.9421316799527606,7,4,0.0
1-1,0.9421316799527606,6,7,0.0
1-1,0.9421316799527606,5,18,0.0
1-1,0.9421316799527606,4,23,0.0
1-1,0.9421316799527606,3,43,0.0
1-1,0.9421316799527606,2,90,0.0
