# Gyration Radius Results
# Date: 2025-04-04 17:45:05.568476
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9421316799527606,66,2.9522524124307865,0.0
1-1,0.9421316799527606,21,1.7089865185644153,0.0
1-1,0.9421316799527606,18,1.8128990609231257,0.0
1-1,0.9421316799527606,17,1.818779392204742,0.0
1-1,0.9421316799527606,14,1.7569105537498346,0.0
1-1,0.9421316799527606,11,1.3972814445328763,0.0
1-1,0.9421316799527606,10,1.503329637837291,0.0
1-1,0.9421316799527606,9,1.227221104209076,0.0
1-1,0.9421316799527606,8,1.2956893902099869,0.0
1-1,0.9421316799527606,7,1.0832046762873278,0.0
1-1,0.9421316799527606,6,1.0310908217330357,0.0
1-1,0.9421316799527606,5,0.9434002916209491,0.0
1-1,0.9421316799527606,4,0.8559283108710172,0.0
1-1,0.9421316799527606,3,0.6840887497202782,0.0
1-1,0.9421316799527606,2,0.5,0.0
