# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:14:38.514553
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.8305084745762712,51,1,0.0
1-1,0.8305084745762712,21,1,0.0
1-1,0.8305084745762712,19,1,0.0
1-1,0.8305084745762712,16,1,0.0
1-1,0.8305084745762712,14,2,0.0
1-1,0.8305084745762712,13,1,0.0
1-1,0.8305084745762712,11,1,0.0
1-1,0.8305084745762712,9,2,0.0
1-1,0.8305084745762712,8,3,0.0
1-1,0.8305084745762712,7,4,0.0
1-1,0.8305084745762712,6,2,0.0
1-1,0.8305084745762712,5,5,0.0
1-1,0.8305084745762712,4,8,0.0
1-1,0.8305084745762712,3,16,0.0
1-1,0.8305084745762712,2,23,0.0
