# Gyration Radius Results
# Date: 2025-04-04 17:14:38.513019
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.8305084745762712,51,4.619384794375574,0.0
1-1,0.8305084745762712,21,4.492876700187075,0.0
1-1,0.8305084745762712,19,3.121722658176193,0.0
1-1,0.8305084745762712,16,2.462214450449026,0.0
1-1,0.8305084745762712,14,2.8482391824708726,0.0
1-1,0.8305084745762712,13,2.253202848596432,0.0
1-1,0.8305084745762712,11,1.6414063713879807,0.0
1-1,0.8305084745762712,9,1.8914333912101529,0.0
1-1,0.8305084745762712,8,1.641931140221965,0.0
1-1,0.8305084745762712,7,1.469171385228252,0.0
1-1,0.8305084745762712,6,1.2583057392117916,0.0
1-1,0.8305084745762712,5,1.1041373834470032,0.0
1-1,0.8305084745762712,4,0.9377011678894336,0.0
1-1,0.8305084745762712,3,0.7603103630798288,0.0
1-1,0.8305084745762712,2,0.5,0.0
