# Gyration Radius Results
# Date: 2025-04-04 17:44:44.224240
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.5585689555683785,14,1.7586572651835701,0.0
1-1,0.5585689555683785,11,1.465865045145191,0.0
1-1,0.5585689555683785,10,1.8384776310850235,0.0
1-1,0.5585689555683785,9,1.318610648915397,0.0
1-1,0.5585689555683785,8,1.4184163798436007,0.0
1-1,0.5585689555683785,7,1.1932300984718018,0.0
1-1,0.5585689555683785,6,1.0814575518711147,0.0
1-1,0.5585689555683785,5,0.9598879891275628,0.0
1-1,0.5585689555683785,4,0.8592293551862701,0.0
1-1,0.5585689555683785,3,0.6864116941274263,0.0
1-1,0.5585689555683785,2,0.5,0.0
