# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:44:44.225396
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.5585689555683785,14,2,0.0
1-1,0.5585689555683785,11,1,0.0
1-1,0.5585689555683785,10,1,0.0
1-1,0.5585689555683785,9,4,0.0
1-1,0.5585689555683785,8,3,0.0
1-1,0.5585689555683785,7,15,0.0
1-1,0.5585689555683785,6,25,0.0
1-1,0.5585689555683785,5,27,0.0
1-1,0.5585689555683785,4,81,0.0
1-1,0.5585689555683785,3,129,0.0
1-1,0.5585689555683785,2,363,0.0
