# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:45:00.903642
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9124212325109473,145,1,0.0
1-1,0.9124212325109473,87,1,0.0
1-1,0.9124212325109473,38,1,0.0
1-1,0.9124212325109473,32,1,0.0
1-1,0.9124212325109473,30,1,0.0
1-1,0.9124212325109473,28,1,0.0
1-1,0.9124212325109473,27,1,0.0
1-1,0.9124212325109473,24,2,0.0
1-1,0.9124212325109473,23,1,0.0
1-1,0.9124212325109473,21,1,0.0
1-1,0.9124212325109473,19,1,0.0
1-1,0.9124212325109473,18,2,0.0
1-1,0.9124212325109473,17,1,0.0
1-1,0.9124212325109473,16,4,0.0
1-1,0.9124212325109473,15,2,0.0
1-1,0.9124212325109473,14,6,0.0
1-1,0.9124212325109473,13,5,0.0
1-1,0.9124212325109473,12,2,0.0
1-1,0.9124212325109473,11,1,0.0
1-1,0.9124212325109473,10,7,0.0
1-1,0.9124212325109473,9,2,0.0
1-1,0.9124212325109473,8,8,0.0
1-1,0.9124212325109473,7,7,0.0
1-1,0.9124212325109473,6,21,0.0
1-1,0.9124212325109473,5,19,0.0
1-1,0.9124212325109473,4,38,0.0
1-1,0.9124212325109473,3,70,0.0
1-1,0.9124212325109473,2,143,0.0
