# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:14:40.080374
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9404525605398968,895,1,0.0
1-1,0.9404525605398968,216,1,0.0
1-1,0.9404525605398968,155,1,0.0
1-1,0.9404525605398968,44,1,0.0
1-1,0.9404525605398968,34,1,0.0
1-1,0.9404525605398968,33,1,0.0
1-1,0.9404525605398968,31,1,0.0
1-1,0.9404525605398968,28,1,0.0
1-1,0.9404525605398968,22,2,0.0
1-1,0.9404525605398968,20,2,0.0
1-1,0.9404525605398968,17,3,0.0
1-1,0.9404525605398968,15,2,0.0
1-1,0.9404525605398968,14,2,0.0
1-1,0.9404525605398968,13,1,0.0
1-1,0.9404525605398968,12,1,0.0
1-1,0.9404525605398968,11,4,0.0
1-1,0.9404525605398968,10,5,0.0
1-1,0.9404525605398968,9,4,0.0
1-1,0.9404525605398968,8,5,0.0
1-1,0.9404525605398968,7,9,0.0
1-1,0.9404525605398968,6,10,0.0
1-1,0.9404525605398968,5,18,0.0
1-1,0.9404525605398968,4,23,0.0
1-1,0.9404525605398968,3,40,0.0
1-1,0.9404525605398968,2,60,0.0
