# Gyration Radius Results
# Date: 2025-04-04 17:14:40.079334
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9404525605398968,895,15.00140875379653,0.0
1-1,0.9404525605398968,216,9.664076565163317,0.0
1-1,0.9404525605398968,155,6.6551006156146295,0.0
1-1,0.9404525605398968,44,4.817913800435802,0.0
1-1,0.9404525605398968,34,7.2549350820653595,0.0
1-1,0.9404525605398968,33,3.0293938029893783,0.0
1-1,0.9404525605398968,31,4.908528541769866,0.0
1-1,0.9404525605398968,28,6.074159049882156,0.0
1-1,0.9404525605398968,22,2.6358362506899455,0.0
1-1,0.9404525605398968,20,3.850574844667544,0.0
1-1,0.9404525605398968,17,3.3041738885022784,0.0
1-1,0.9404525605398968,15,2.6267062011551463,0.0
1-1,0.9404525605398968,14,2.602317836712386,0.0
1-1,0.9404525605398968,13,2.7391528945792087,0.0
1-1,0.9404525605398968,12,2.25924028528766,0.0
1-1,0.9404525605398968,11,2.0009095595360016,0.0
1-1,0.9404525605398968,10,1.6631450724937633,0.0
1-1,0.9404525605398968,9,1.417014217851632,0.0
1-1,0.9404525605398968,8,1.6745635229762974,0.0
1-1,0.9404525605398968,7,1.3879792940631335,0.0
1-1,0.9404525605398968,6,1.3006670881190157,0.0
1-1,0.9404525605398968,5,1.1158537995304991,0.0
1-1,0.9404525605398968,4,0.9450592102479275,0.0
1-1,0.9404525605398968,3,0.7565646152233023,0.0
1-1,0.9404525605398968,2,0.5,0.0
