# Gyration Radius Results
# Date: 2025-04-04 17:14:38.644499
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.7922077922077922,36,4.304569779624245,0.0
1-1,0.7922077922077922,30,4.984420171338332,0.0
1-1,0.7922077922077922,22,4.35439362043131,0.0
1-1,0.7922077922077922,16,2.331844763272204,0.0
1-1,0.7922077922077922,14,3.3874016289655358,0.0
1-1,0.7922077922077922,13,1.6569737868106165,0.0
1-1,0.7922077922077922,11,1.9616032218768207,0.0
1-1,0.7922077922077922,9,1.7690953671490781,0.0
1-1,0.7922077922077922,8,1.4577379737113252,0.0
1-1,0.7922077922077922,7,1.5030525220955329,0.0
1-1,0.7922077922077922,6,1.1614329064836462,0.0
1-1,0.7922077922077922,5,1.1647028045793935,0.0
1-1,0.7922077922077922,4,1.0035945200853411,0.0
1-1,0.7922077922077922,3,0.7455245162777505,0.0
1-1,0.7922077922077922,2,0.5,0.0
