# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:14:38.645518
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.7922077922077922,36,1,0.0
1-1,0.7922077922077922,30,1,0.0
1-1,0.7922077922077922,22,1,0.0
1-1,0.7922077922077922,16,1,0.0
1-1,0.7922077922077922,14,1,0.0
1-1,0.7922077922077922,13,1,0.0
1-1,0.7922077922077922,11,2,0.0
1-1,0.7922077922077922,9,5,0.0
1-1,0.7922077922077922,8,1,0.0
1-1,0.7922077922077922,7,2,0.0
1-1,0.7922077922077922,6,4,0.0
1-1,0.7922077922077922,5,8,0.0
1-1,0.7922077922077922,4,6,0.0
1-1,0.7922077922077922,3,19,0.0
1-1,0.7922077922077922,2,31,0.0
