# Gyration Radius Results
# Date: 2025-04-04 17:44:46.362865
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.693804186931698,28,2.8731693373026808,0.0
1-1,0.693804186931698,26,2.4280527161697325,0.0
1-1,0.693804186931698,22,1.8900566260265264,0.0
1-1,0.693804186931698,21,2.106032798809141,0.0
1-1,0.693804186931698,20,2.1418449990603894,0.0
1-1,0.693804186931698,19,2.2524131846546482,0.0
1-1,0.693804186931698,18,2.085369375458162,0.0
1-1,0.693804186931698,17,2.1661120752378786,0.0
1-1,0.693804186931698,16,1.964529205687714,0.0
1-1,0.693804186931698,15,1.5736995092666646,0.0
1-1,0.693804186931698,14,1.7799908277681589,0.0
1-1,0.693804186931698,13,1.581845917983034,0.0
1-1,0.693804186931698,12,1.7480457273926657,0.0
1-1,0.693804186931698,11,1.5768762268965975,0.0
1-1,0.693804186931698,10,1.3881711326268695,0.0
1-1,0.693804186931698,9,1.419139848755529,0.0
1-1,0.693804186931698,8,1.252883490670016,0.0
1-1,0.693804186931698,7,1.1315050278641825,0.0
1-1,0.693804186931698,6,1.0866569403640547,0.0
1-1,0.693804186931698,5,0.9559483462357959,0.0
1-1,0.693804186931698,4,0.85040917223524,0.0
1-1,0.693804186931698,3,0.6935822201267372,0.0
1-1,0.693804186931698,2,0.5,0.0
