# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:44:46.363839
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.693804186931698,28,1,0.0
1-1,0.693804186931698,26,2,0.0
1-1,0.693804186931698,22,1,0.0
1-1,0.693804186931698,21,1,0.0
1-1,0.693804186931698,20,1,0.0
1-1,0.693804186931698,19,3,0.0
1-1,0.693804186931698,18,1,0.0
1-1,0.693804186931698,17,1,0.0
1-1,0.693804186931698,16,1,0.0
1-1,0.693804186931698,15,2,0.0
1-1,0.693804186931698,14,1,0.0
1-1,0.693804186931698,13,3,0.0
1-1,0.693804186931698,12,7,0.0
1-1,0.693804186931698,11,13,0.0
1-1,0.693804186931698,10,9,0.0
1-1,0.693804186931698,9,10,0.0
1-1,0.693804186931698,8,20,0.0
1-1,0.693804186931698,7,30,0.0
1-1,0.693804186931698,6,45,0.0
1-1,0.693804186931698,5,49,0.0
1-1,0.693804186931698,4,110,0.0
1-1,0.693804186931698,3,167,0.0
1-1,0.693804186931698,2,357,0.0
