# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:44:52.789079
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.8506040268456376,216,1,0.0
1-1,0.8506040268456376,142,1,0.0
1-1,0.8506040268456376,120,1,0.0
1-1,0.8506040268456376,108,2,0.0
1-1,0.8506040268456376,107,1,0.0
1-1,0.8506040268456376,98,1,0.0
1-1,0.8506040268456376,97,1,0.0
1-1,0.8506040268456376,86,1,0.0
1-1,0.8506040268456376,81,1,0.0
1-1,0.8506040268456376,77,1,0.0
1-1,0.8506040268456376,70,1,0.0
1-1,0.8506040268456376,69,1,0.0
1-1,0.8506040268456376,65,1,0.0
1-1,0.8506040268456376,59,2,0.0
1-1,0.8506040268456376,57,2,0.0
1-1,0.8506040268456376,53,2,0.0
1-1,0.8506040268456376,52,1,0.0
1-1,0.8506040268456376,51,2,0.0
1-1,0.8506040268456376,48,1,0.0
1-1,0.8506040268456376,46,3,0.0
1-1,0.8506040268456376,44,1,0.0
1-1,0.8506040268456376,43,1,0.0
1-1,0.8506040268456376,38,2,0.0
1-1,0.8506040268456376,35,2,0.0
1-1,0.8506040268456376,33,1,0.0
1-1,0.8506040268456376,31,3,0.0
1-1,0.8506040268456376,30,4,0.0
1-1,0.8506040268456376,29,2,0.0
1-1,0.8506040268456376,28,2,0.0
1-1,0.8506040268456376,27,4,0.0
1-1,0.8506040268456376,25,2,0.0
1-1,0.8506040268456376,24,4,0.0
1-1,0.8506040268456376,23,3,0.0
1-1,0.8506040268456376,22,4,0.0
1-1,0.8506040268456376,21,2,0.0
1-1,0.8506040268456376,20,3,0.0
1-1,0.8506040268456376,19,2,0.0
1-1,0.8506040268456376,18,7,0.0
1-1,0.8506040268456376,17,3,0.0
1-1,0.8506040268456376,16,10,0.0
1-1,0.8506040268456376,15,3,0.0
1-1,0.8506040268456376,14,6,0.0
1-1,0.8506040268456376,13,7,0.0
1-1,0.8506040268456376,12,12,0.0
1-1,0.8506040268456376,11,13,0.0
1-1,0.8506040268456376,10,13,0.0
1-1,0.8506040268456376,9,14,0.0
1-1,0.8506040268456376,8,16,0.0
1-1,0.8506040268456376,7,34,0.0
1-1,0.8506040268456376,6,45,0.0
1-1,0.8506040268456376,5,42,0.0
1-1,0.8506040268456376,4,73,0.0
1-1,0.8506040268456376,3,107,0.0
1-1,0.8506040268456376,2,256,0.0
