# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:44:54.771121
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.8744306290779269,227,1,0.0
1-1,0.8744306290779269,178,1,0.0
1-1,0.8744306290779269,177,1,0.0
1-1,0.8744306290779269,158,1,0.0
1-1,0.8744306290779269,131,1,0.0
1-1,0.8744306290779269,96,1,0.0
1-1,0.8744306290779269,94,1,0.0
1-1,0.8744306290779269,93,1,0.0
1-1,0.8744306290779269,87,1,0.0
1-1,0.8744306290779269,71,1,0.0
1-1,0.8744306290779269,69,1,0.0
1-1,0.8744306290779269,68,1,0.0
1-1,0.8744306290779269,67,1,0.0
1-1,0.8744306290779269,65,1,0.0
1-1,0.8744306290779269,62,1,0.0
1-1,0.8744306290779269,60,2,0.0
1-1,0.8744306290779269,58,1,0.0
1-1,0.8744306290779269,55,2,0.0
1-1,0.8744306290779269,45,1,0.0
1-1,0.8744306290779269,41,1,0.0
1-1,0.8744306290779269,40,1,0.0
1-1,0.8744306290779269,39,2,0.0
1-1,0.8744306290779269,38,2,0.0
1-1,0.8744306290779269,36,1,0.0
1-1,0.8744306290779269,32,1,0.0
1-1,0.8744306290779269,30,1,0.0
1-1,0.8744306290779269,29,3,0.0
1-1,0.8744306290779269,28,1,0.0
1-1,0.8744306290779269,27,2,0.0
1-1,0.8744306290779269,26,1,0.0
1-1,0.8744306290779269,25,3,0.0
1-1,0.8744306290779269,24,2,0.0
1-1,0.8744306290779269,23,4,0.0
1-1,0.8744306290779269,22,6,0.0
1-1,0.8744306290779269,21,2,0.0
1-1,0.8744306290779269,20,2,0.0
1-1,0.8744306290779269,19,3,0.0
1-1,0.8744306290779269,17,1,0.0
1-1,0.8744306290779269,16,5,0.0
1-1,0.8744306290779269,15,2,0.0
1-1,0.8744306290779269,14,1,0.0
1-1,0.8744306290779269,13,10,0.0
1-1,0.8744306290779269,12,10,0.0
1-1,0.8744306290779269,11,6,0.0
1-1,0.8744306290779269,10,9,0.0
1-1,0.8744306290779269,9,10,0.0
1-1,0.8744306290779269,8,18,0.0
1-1,0.8744306290779269,7,14,0.0
1-1,0.8744306290779269,6,15,0.0
1-1,0.8744306290779269,5,43,0.0
1-1,0.8744306290779269,4,51,0.0
1-1,0.8744306290779269,3,116,0.0
1-1,0.8744306290779269,2,233,0.0
