# Gyration Radius Results
# Date: 2025-04-04 17:13:22.511199
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9542811309404452,3191,36.512161115400886,0.0
1-1,0.9542811309404452,394,9.604192712738984,0.0
1-1,0.9542811309404452,134,7.081936207703997,0.0
1-1,0.9542811309404452,46,4.549039658515278,0.0
1-1,0.9542811309404452,45,3.4138425546082702,0.0
1-1,0.9542811309404452,39,4.627619111987057,0.0
1-1,0.9542811309404452,28,2.208229043872959,0.0
1-1,0.9542811309404452,27,3.500342918729084,0.0
1-1,0.9542811309404452,23,2.1704319955389018,0.0
1-1,0.9542811309404452,20,2.125441130683228,0.0
1-1,0.9542811309404452,18,2.2925199719719345,0.0
1-1,0.9542811309404452,17,2.209533117077286,0.0
1-1,0.9542811309404452,16,2.1243160201622064,0.0
1-1,0.9542811309404452,14,1.972621128217255,0.0
1-1,0.9542811309404452,13,1.9122773684086236,0.0
1-1,0.9542811309404452,12,2.984915781428719,0.0
1-1,0.9542811309404452,11,1.5922448348148364,0.0
1-1,0.9542811309404452,10,1.706702959115674,0.0
1-1,0.9542811309404452,9,1.6812358846504383,0.0
1-1,0.9542811309404452,8,1.4426533446564307,0.0
1-1,0.9542811309404452,7,1.410804621830497,0.0
1-1,0.9542811309404452,6,1.2121841682791712,0.0
1-1,0.9542811309404452,5,1.073057998253509,0.0
1-1,0.9542811309404452,4,0.8738266858017895,0.0
1-1,0.9542811309404452,3,0.7327680994288988,0.0
1-1,0.9542811309404452,2,0.5,0.0
