# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:13:22.512234
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9542811309404452,3191,1,0.0
1-1,0.9542811309404452,394,1,0.0
1-1,0.9542811309404452,134,1,0.0
1-1,0.9542811309404452,46,1,0.0
1-1,0.9542811309404452,45,1,0.0
1-1,0.9542811309404452,39,1,0.0
1-1,0.9542811309404452,28,1,0.0
1-1,0.9542811309404452,27,1,0.0
1-1,0.9542811309404452,23,1,0.0
1-1,0.9542811309404452,20,1,0.0
1-1,0.9542811309404452,18,4,0.0
1-1,0.9542811309404452,17,3,0.0
1-1,0.9542811309404452,16,4,0.0
1-1,0.9542811309404452,14,3,0.0
1-1,0.9542811309404452,13,1,0.0
1-1,0.9542811309404452,12,1,0.0
1-1,0.9542811309404452,11,2,0.0
1-1,0.9542811309404452,10,5,0.0
1-1,0.9542811309404452,9,2,0.0
1-1,0.9542811309404452,8,3,0.0
1-1,0.9542811309404452,7,9,0.0
1-1,0.9542811309404452,6,4,0.0
1-1,0.9542811309404452,5,11,0.0
1-1,0.9542811309404452,4,16,0.0
1-1,0.9542811309404452,3,34,0.0
1-1,0.9542811309404452,2,68,0.0
