# Gyration Radius Results
# Date: 2025-04-04 17:14:37.848653
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.8078602620087336,64,4.257432609199469,0.0
1-1,0.8078602620087336,34,3.4199951435648153,0.0
1-1,0.8078602620087336,25,3.324093861490677,0.0
1-1,0.8078602620087336,22,2.154181020195052,0.0
1-1,0.8078602620087336,18,3.8445889503991015,0.0
1-1,0.8078602620087336,17,2.5382881188695787,0.0
1-1,0.8078602620087336,14,1.8543935693924527,0.0
1-1,0.8078602620087336,13,2.232556235583216,0.0
1-1,0.8078602620087336,12,2.3033791601808753,0.0
1-1,0.8078602620087336,10,2.0709944609331723,0.0
1-1,0.8078602620087336,8,1.4523587932800517,0.0
1-1,0.8078602620087336,7,1.4409269954710584,0.0
1-1,0.8078602620087336,6,1.2124862029392292,0.0
1-1,0.8078602620087336,5,1.2087194826413483,0.0
1-1,0.8078602620087336,4,0.968081477136992,0.0
1-1,0.8078602620087336,3,0.7473443128072372,0.0
1-1,0.8078602620087336,2,0.5,0.0
