# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:14:37.849552
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.8078602620087336,64,1,0.0
1-1,0.8078602620087336,34,1,0.0
1-1,0.8078602620087336,25,1,0.0
1-1,0.8078602620087336,22,1,0.0
1-1,0.8078602620087336,18,1,0.0
1-1,0.8078602620087336,17,1,0.0
1-1,0.8078602620087336,14,1,0.0
1-1,0.8078602620087336,13,2,0.0
1-1,0.8078602620087336,12,1,0.0
1-1,0.8078602620087336,10,4,0.0
1-1,0.8078602620087336,8,2,0.0
1-1,0.8078602620087336,7,3,0.0
1-1,0.8078602620087336,6,2,0.0
1-1,0.8078602620087336,5,6,0.0
1-1,0.8078602620087336,4,9,0.0
1-1,0.8078602620087336,3,26,0.0
1-1,0.8078602620087336,2,45,0.0
