# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:11:51.407896
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9968384232476792,14079,1,0.0
1-1,0.9968384232476792,249,1,0.0
1-1,0.9968384232476792,132,1,0.0
1-1,0.9968384232476792,18,1,0.0
1-1,0.9968384232476792,17,1,0.0
1-1,0.9968384232476792,16,1,0.0
1-1,0.9968384232476792,15,1,0.0
1-1,0.9968384232476792,14,1,0.0
1-1,0.9968384232476792,13,5,0.0
1-1,0.9968384232476792,11,1,0.0
1-1,0.9968384232476792,10,3,0.0
1-1,0.9968384232476792,9,2,0.0
1-1,0.9968384232476792,8,1,0.0
1-1,0.9968384232476792,7,2,0.0
1-1,0.9968384232476792,6,2,0.0
1-1,0.9968384232476792,5,5,0.0
1-1,0.9968384232476792,4,3,0.0
1-1,0.9968384232476792,3,14,0.0
1-1,0.9968384232476792,2,21,0.0
