# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:12:00.729112
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9961359093937375,14190,1,0.0
1-1,0.9961359093937375,274,1,0.0
1-1,0.9961359093937375,140,1,0.0
1-1,0.9961359093937375,22,1,0.0
1-1,0.9961359093937375,21,1,0.0
1-1,0.9961359093937375,15,1,0.0
1-1,0.9961359093937375,13,1,0.0
1-1,0.9961359093937375,12,1,0.0
1-1,0.9961359093937375,10,4,0.0
1-1,0.9961359093937375,9,1,0.0
1-1,0.9961359093937375,8,1,0.0
1-1,0.9961359093937375,7,3,0.0
1-1,0.9961359093937375,6,8,0.0
1-1,0.9961359093937375,5,5,0.0
1-1,0.9961359093937375,4,6,0.0
1-1,0.9961359093937375,3,14,0.0
1-1,0.9961359093937375,2,24,0.0
