# Gyration Radius Results
# Date: 2025-04-04 17:45:10.879190
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9565900064653182,24,1.9387316873553069,0.0
1-1,0.9565900064653182,13,1.3717349615482315,0.0
1-1,0.9565900064653182,12,1.2856040517117926,0.0
1-1,0.9565900064653182,11,1.3890891628206894,0.0
1-1,0.9565900064653182,10,1.3590270217068126,0.0
1-1,0.9565900064653182,9,1.2217103750564484,0.0
1-1,0.9565900064653182,8,1.2000005805730363,0.0
1-1,0.9565900064653182,7,1.262055988301273,0.0
1-1,0.9565900064653182,6,1.013750502687048,0.0
1-1,0.9565900064653182,5,0.9521413642454933,0.0
1-1,0.9565900064653182,4,0.8119207484245171,0.0
1-1,0.9565900064653182,3,0.6757472675309734,0.0
1-1,0.9565900064653182,2,0.5,0.0
