# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:45:10.880227
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9565900064653182,24,1,0.0
1-1,0.9565900064653182,13,1,0.0
1-1,0.9565900064653182,12,1,0.0
1-1,0.9565900064653182,11,3,0.0
1-1,0.9565900064653182,10,2,0.0
1-1,0.9565900064653182,9,2,0.0
1-1,0.9565900064653182,8,5,0.0
1-1,0.9565900064653182,7,5,0.0
1-1,0.9565900064653182,6,8,0.0
1-1,0.9565900064653182,5,15,0.0
1-1,0.9565900064653182,4,15,0.0
1-1,0.9565900064653182,3,33,0.0
1-1,0.9565900064653182,2,78,0.0
