# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:12:47.124420
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9950215731828742,14308,1,0.0
1-1,0.9950215731828742,175,1,0.0
1-1,0.9950215731828742,124,1,0.0
1-1,0.9950215731828742,55,1,0.0
1-1,0.9950215731828742,49,1,0.0
1-1,0.9950215731828742,18,1,0.0
1-1,0.9950215731828742,16,1,0.0
1-1,0.9950215731828742,15,1,0.0
1-1,0.9950215731828742,14,1,0.0
1-1,0.9950215731828742,13,1,0.0
1-1,0.9950215731828742,9,1,0.0
1-1,0.9950215731828742,7,2,0.0
1-1,0.9950215731828742,6,4,0.0
1-1,0.9950215731828742,5,4,0.0
1-1,0.9950215731828742,4,9,0.0
1-1,0.9950215731828742,3,16,0.0
1-1,0.9950215731828742,2,26,0.0
