# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:14:38.074107
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.8808988764044944,44,1,0.0
1-1,0.8808988764044944,42,1,0.0
1-1,0.8808988764044944,32,1,0.0
1-1,0.8808988764044944,29,1,0.0
1-1,0.8808988764044944,24,1,0.0
1-1,0.8808988764044944,18,1,0.0
1-1,0.8808988764044944,15,1,0.0
1-1,0.8808988764044944,14,2,0.0
1-1,0.8808988764044944,12,1,0.0
1-1,0.8808988764044944,10,1,0.0
1-1,0.8808988764044944,9,1,0.0
1-1,0.8808988764044944,8,1,0.0
1-1,0.8808988764044944,7,1,0.0
1-1,0.8808988764044944,6,2,0.0
1-1,0.8808988764044944,5,4,0.0
1-1,0.8808988764044944,4,3,0.0
1-1,0.8808988764044944,3,14,0.0
1-1,0.8808988764044944,2,14,0.0
