# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:14:41.467163
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9455703532136653,2304,1,0.0
1-1,0.9455703532136653,461,1,0.0
1-1,0.9455703532136653,260,1,0.0
1-1,0.9455703532136653,233,1,0.0
1-1,0.9455703532136653,194,1,0.0
1-1,0.9455703532136653,90,1,0.0
1-1,0.9455703532136653,77,1,0.0
1-1,0.9455703532136653,66,1,0.0
1-1,0.9455703532136653,63,1,0.0
1-1,0.9455703532136653,62,1,0.0
1-1,0.9455703532136653,49,1,0.0
1-1,0.9455703532136653,39,1,0.0
1-1,0.9455703532136653,35,1,0.0
1-1,0.9455703532136653,31,1,0.0
1-1,0.9455703532136653,30,1,0.0
1-1,0.9455703532136653,29,1,0.0
1-1,0.9455703532136653,26,1,0.0
1-1,0.9455703532136653,25,1,0.0
1-1,0.9455703532136653,23,1,0.0
1-1,0.9455703532136653,18,1,0.0
1-1,0.9455703532136653,17,2,0.0
1-1,0.9455703532136653,16,2,0.0
1-1,0.9455703532136653,15,2,0.0
1-1,0.9455703532136653,13,1,0.0
1-1,0.9455703532136653,12,4,0.0
1-1,0.9455703532136653,11,6,0.0
1-1,0.9455703532136653,10,3,0.0
1-1,0.9455703532136653,9,1,0.0
1-1,0.9455703532136653,8,1,0.0
1-1,0.9455703532136653,7,4,0.0
1-1,0.9455703532136653,6,11,0.0
1-1,0.9455703532136653,5,7,0.0
1-1,0.9455703532136653,4,14,0.0
1-1,0.9455703532136653,3,45,0.0
1-1,0.9455703532136653,2,97,0.0
