# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:44:45.174052
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.6053022794846382,24,1,0.0
1-1,0.6053022794846382,19,1,0.0
1-1,0.6053022794846382,18,1,0.0
1-1,0.6053022794846382,16,1,0.0
1-1,0.6053022794846382,15,1,0.0
1-1,0.6053022794846382,14,2,0.0
1-1,0.6053022794846382,13,3,0.0
1-1,0.6053022794846382,12,5,0.0
1-1,0.6053022794846382,11,2,0.0
1-1,0.6053022794846382,10,5,0.0
1-1,0.6053022794846382,9,9,0.0
1-1,0.6053022794846382,8,11,0.0
1-1,0.6053022794846382,7,21,0.0
1-1,0.6053022794846382,6,32,0.0
1-1,0.6053022794846382,5,39,0.0
1-1,0.6053022794846382,4,85,0.0
1-1,0.6053022794846382,3,155,0.0
1-1,0.6053022794846382,2,322,0.0
