# Gyration Radius Results
# Date: 2025-04-04 17:13:23.011102
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.8973105134474327,462,10.366951301075648,0.0
1-1,0.8973105134474327,228,8.616543699817871,0.0
1-1,0.8973105134474327,142,6.307123400895859,0.0
1-1,0.8973105134474327,132,5.515796665562559,0.0
1-1,0.8973105134474327,103,5.360577428474455,0.0
1-1,0.8973105134474327,92,5.966945813734641,0.0
1-1,0.8973105134474327,33,2.537143719870846,0.0
1-1,0.8973105134474327,17,2.3980961306634714,0.0
1-1,0.8973105134474327,14,2.994210918485134,0.0
1-1,0.8973105134474327,13,2.0155813319332374,0.0
1-1,0.8973105134474327,11,1.9722622515119532,0.0
1-1,0.8973105134474327,10,1.7199782435752358,0.0
1-1,0.8973105134474327,8,1.600353160708424,0.0
1-1,0.8973105134474327,7,1.343210260962946,0.0
1-1,0.8973105134474327,6,1.209484333249223,0.0
1-1,0.8973105134474327,5,0.9618058960628356,0.0
1-1,0.8973105134474327,4,0.8896746464255174,0.0
1-1,0.8973105134474327,3,0.7166099714203532,0.0
1-1,0.8973105134474327,2,0.5,0.0
