# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:14:38.190893
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.8879120879120879,54,1,0.0
1-1,0.8879120879120879,43,1,0.0
1-1,0.8879120879120879,39,1,0.0
1-1,0.8879120879120879,30,1,0.0
1-1,0.8879120879120879,28,1,0.0
1-1,0.8879120879120879,23,1,0.0
1-1,0.8879120879120879,15,1,0.0
1-1,0.8879120879120879,13,1,0.0
1-1,0.8879120879120879,12,1,0.0
1-1,0.8879120879120879,10,1,0.0
1-1,0.8879120879120879,9,1,0.0
1-1,0.8879120879120879,8,1,0.0
1-1,0.8879120879120879,6,3,0.0
1-1,0.8879120879120879,5,3,0.0
1-1,0.8879120879120879,4,5,0.0
1-1,0.8879120879120879,3,13,0.0
1-1,0.8879120879120879,2,14,0.0
