# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:11:42.132064
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9934494566026499,12492,1,0.0
1-1,0.9934494566026499,189,1,0.0
1-1,0.9934494566026499,138,1,0.0
1-1,0.9934494566026499,52,1,0.0
1-1,0.9934494566026499,39,1,0.0
1-1,0.9934494566026499,26,1,0.0
1-1,0.9934494566026499,24,2,0.0
1-1,0.9934494566026499,23,1,0.0
1-1,0.9934494566026499,17,1,0.0
1-1,0.9934494566026499,15,1,0.0
1-1,0.9934494566026499,13,1,0.0
1-1,0.9934494566026499,12,2,0.0
1-1,0.9934494566026499,11,1,0.0
1-1,0.9934494566026499,9,5,0.0
1-1,0.9934494566026499,8,1,0.0
1-1,0.9934494566026499,7,2,0.0
1-1,0.9934494566026499,6,4,0.0
1-1,0.9934494566026499,5,10,0.0
1-1,0.9934494566026499,4,6,0.0
1-1,0.9934494566026499,3,14,0.0
1-1,0.9934494566026499,2,26,0.0
