# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:12:28.721580
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9961240310077519,14465,1,0.0
1-1,0.9961240310077519,322,1,0.0
1-1,0.9961240310077519,141,1,0.0
1-1,0.9961240310077519,16,2,0.0
1-1,0.9961240310077519,15,1,0.0
1-1,0.9961240310077519,14,1,0.0
1-1,0.9961240310077519,13,1,0.0
1-1,0.9961240310077519,12,1,0.0
1-1,0.9961240310077519,10,1,0.0
1-1,0.9961240310077519,9,1,0.0
1-1,0.9961240310077519,7,1,0.0
1-1,0.9961240310077519,6,1,0.0
1-1,0.9961240310077519,5,2,0.0
1-1,0.9961240310077519,4,7,0.0
1-1,0.9961240310077519,3,13,0.0
1-1,0.9961240310077519,2,20,0.0
