# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:11:23.616136
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9577988473693995,972,1,0.0
1-1,0.9577988473693995,891,1,0.0
1-1,0.9577988473693995,338,1,0.0
1-1,0.9577988473693995,319,1,0.0
1-1,0.9577988473693995,142,1,0.0
1-1,0.9577988473693995,133,1,0.0
1-1,0.9577988473693995,116,1,0.0
1-1,0.9577988473693995,110,1,0.0
1-1,0.9577988473693995,101,2,0.0
1-1,0.9577988473693995,100,1,0.0
1-1,0.9577988473693995,97,1,0.0
1-1,0.9577988473693995,89,1,0.0
1-1,0.9577988473693995,83,1,0.0
1-1,0.9577988473693995,74,1,0.0
1-1,0.9577988473693995,68,1,0.0
1-1,0.9577988473693995,64,1,0.0
1-1,0.9577988473693995,62,1,0.0
1-1,0.9577988473693995,44,1,0.0
1-1,0.9577988473693995,37,2,0.0
1-1,0.9577988473693995,34,1,0.0
1-1,0.9577988473693995,31,1,0.0
1-1,0.9577988473693995,29,1,0.0
1-1,0.9577988473693995,28,1,0.0
1-1,0.9577988473693995,25,3,0.0
1-1,0.9577988473693995,23,1,0.0
1-1,0.9577988473693995,21,2,0.0
1-1,0.9577988473693995,19,2,0.0
1-1,0.9577988473693995,18,2,0.0
1-1,0.9577988473693995,17,1,0.0
1-1,0.9577988473693995,16,1,0.0
1-1,0.9577988473693995,15,3,0.0
1-1,0.9577988473693995,14,3,0.0
1-1,0.9577988473693995,13,4,0.0
1-1,0.9577988473693995,11,2,0.0
1-1,0.9577988473693995,9,4,0.0
1-1,0.9577988473693995,8,5,0.0
1-1,0.9577988473693995,7,7,0.0
1-1,0.9577988473693995,6,10,0.0
1-1,0.9577988473693995,5,18,0.0
1-1,0.9577988473693995,4,30,0.0
1-1,0.9577988473693995,3,41,0.0
1-1,0.9577988473693995,2,63,0.0
