# Percolation Probability Results
# Date: 2025-04-04 18:56:31.710411
# Frames averaged: 1
# Connectivity_type,Concentration,Percolation_probability,Standard_deviation_ddof=1
O_4-O_4,0.7858407079646018,1.0,0.0
O_4-O_5,0.5136283185840708,0.0,0.0
O_5-O_5,0.1479646017699115,0.0,0.0
O_5-O_6,0.09486725663716813,0.0,0.0
O_6-O_6,0.024424778761061947,0.0,0.0
O_6-O_7,0.01592920353982301,0.0,0.0
O_7-O_7,0.00247787610619469,0.0,0.0
O_7-O_8,0.0017699115044247787,0.0,0.0
