# Average Cluster Size Results
# Date: 2025-04-04 18:56:31.699276
# Frames averaged: 1
# Connectivity_type,Concentration,Average_cluster_size,Standard_deviation_ddof=1
O_4-O_4,0.7858407079646018,2.0,0.0
O_4-O_5,0.5136283185840708,28.725706409372844,0.0
O_5-O_5,0.1479646017699115,6.421052631578947,0.0
O_5-O_6,0.09486725663716813,5.843283582089552,0.0
O_6-O_6,0.024424778761061947,3.2608695652173916,0.0
O_6-O_7,0.01592920353982301,3.6222222222222227,0.0
O_7-O_7,0.00247787610619469,2.428571428571429,0.0
O_7-O_8,0.0017699115044247787,2.6,0.0
