# Gyration Radius Results
# Date: 2025-04-04 18:56:31.708284
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
O_5-O_6,0.09486725663716813,13,4.6159753730565445,0.0
O_5-O_6,0.09486725663716813,9,3.6367603042888472,0.0
O_5-O_6,0.09486725663716813,8,3.2859043888707853,0.0
O_5-O_6,0.09486725663716813,7,3.3586145127129137,0.0
O_5-O_6,0.09486725663716813,6,2.674972052413674,0.0
O_5-O_6,0.09486725663716813,5,2.4590816650681595,0.0
O_5-O_6,0.09486725663716813,4,2.3451493307469495,0.0
O_5-O_6,0.09486725663716813,3,1.8939739597682317,0.0
O_5-O_6,0.09486725663716813,2,1.4520915252828135,0.0
