# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 18:56:31.711790
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
O_5-O_5,0.1479646017699115,21,1,0.0
O_5-O_5,0.1479646017699115,14,1,0.0
O_5-O_5,0.1479646017699115,13,1,0.0
O_5-O_5,0.1479646017699115,12,2,0.0
O_5-O_5,0.1479646017699115,10,1,0.0
O_5-O_5,0.1479646017699115,8,5,0.0
O_5-O_5,0.1479646017699115,7,4,0.0
O_5-O_5,0.1479646017699115,6,9,0.0
O_5-O_5,0.1479646017699115,5,6,0.0
O_5-O_5,0.1479646017699115,4,12,0.0
O_5-O_5,0.1479646017699115,3,12,0.0
O_5-O_5,0.1479646017699115,2,50,0.0
