# Correlation Length Results
# Date: 2025-04-04 18:56:31.709883
# Frames averaged: 1
# Connectivity_type,Concentration,Correlation_length,Standard_deviation_ddof=1
O_4-O_4,0.7858407079646018,2.05718191806191,0.0
O_4-O_5,0.5136283185840708,10.48775614896875,0.0
O_5-O_5,0.1479646017699115,4.444188592907574,0.0
O_5-O_6,0.09486725663716813,2.870885032858665,0.0
O_6-O_6,0.024424778761061947,2.125273373011297,0.0
O_6-O_7,0.01592920353982301,1.9509084226462188,0.0
O_7-O_7,0.00247787610619469,2.1410209597862617,0.0
O_7-O_8,0.0017699115044247787,2.437022093558834,0.0
