# Gyration Radius Results
# Date: 2025-04-04 17:44:50.849773
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.8192107222635889,110,5.289971800765347,0.0
1-1,0.8192107222635889,104,4.061620865277117,0.0
1-1,0.8192107222635889,83,3.7485178761696494,0.0
1-1,0.8192107222635889,67,4.682762977372434,0.0
1-1,0.8192107222635889,60,3.684464961967933,0.0
1-1,0.8192107222635889,59,2.914958597543883,0.0
1-1,0.8192107222635889,53,3.2898432649178244,0.0
1-1,0.8192107222635889,51,3.4431729865491523,0.0
1-1,0.8192107222635889,50,2.8533489096148057,0.0
1-1,0.8192107222635889,49,3.100160547225836,0.0
1-1,0.8192107222635889,44,3.1259178798644864,0.0
1-1,0.8192107222635889,42,2.8466075604435894,0.0
1-1,0.8192107222635889,38,2.9814755870039042,0.0
1-1,0.8192107222635889,36,2.698918333486703,0.0
1-1,0.8192107222635889,34,2.825680201310375,0.0
1-1,0.8192107222635889,33,2.5098520291937763,0.0
1-1,0.8192107222635889,31,2.4731383048620037,0.0
1-1,0.8192107222635889,29,2.3138085078168964,0.0
1-1,0.8192107222635889,28,2.347415227551447,0.0
1-1,0.8192107222635889,26,2.6009215481071863,0.0
1-1,0.8192107222635889,25,2.4594167603629846,0.0
1-1,0.8192107222635889,24,1.9144753440301292,0.0
1-1,0.8192107222635889,23,2.026727487902401,0.0
1-1,0.8192107222635889,22,2.251098984477142,0.0
1-1,0.8192107222635889,20,1.922888452302941,0.0
1-1,0.8192107222635889,19,1.867786984514237,0.0
1-1,0.8192107222635889,18,1.7994200757820369,0.0
1-1,0.8192107222635889,17,1.8914940196315444,0.0
1-1,0.8192107222635889,16,1.8641702570726355,0.0
1-1,0.8192107222635889,15,1.747813994206348,0.0
1-1,0.8192107222635889,14,1.6490027588088483,0.0
1-1,0.8192107222635889,13,1.581956061221674,0.0
1-1,0.8192107222635889,12,1.550134877948408,0.0
1-1,0.8192107222635889,11,1.5073004846730076,0.0
1-1,0.8192107222635889,10,1.3961396385994334,0.0
1-1,0.8192107222635889,9,1.248170394956288,0.0
1-1,0.8192107222635889,8,1.2587949175387254,0.0
1-1,0.8192107222635889,7,1.157654645428671,0.0
1-1,0.8192107222635889,6,1.053488728329272,0.0
1-1,0.8192107222635889,5,0.96909327442501,0.0
1-1,0.8192107222635889,4,0.8393106648429202,0.0
1-1,0.8192107222635889,3,0.692766071086335,0.0
1-1,0.8192107222635889,2,0.5,0.0
