# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:44:50.850829
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.8192107222635889,110,1,0.0
1-1,0.8192107222635889,104,1,0.0
1-1,0.8192107222635889,83,1,0.0
1-1,0.8192107222635889,67,1,0.0
1-1,0.8192107222635889,60,2,0.0
1-1,0.8192107222635889,59,1,0.0
1-1,0.8192107222635889,53,1,0.0
1-1,0.8192107222635889,51,1,0.0
1-1,0.8192107222635889,50,1,0.0
1-1,0.8192107222635889,49,1,0.0
1-1,0.8192107222635889,44,2,0.0
1-1,0.8192107222635889,42,1,0.0
1-1,0.8192107222635889,38,1,0.0
1-1,0.8192107222635889,36,2,0.0
1-1,0.8192107222635889,34,2,0.0
1-1,0.8192107222635889,33,1,0.0
1-1,0.8192107222635889,31,3,0.0
1-1,0.8192107222635889,29,2,0.0
1-1,0.8192107222635889,28,4,0.0
1-1,0.8192107222635889,26,1,0.0
1-1,0.8192107222635889,25,5,0.0
1-1,0.8192107222635889,24,4,0.0
1-1,0.8192107222635889,23,4,0.0
1-1,0.8192107222635889,22,3,0.0
1-1,0.8192107222635889,20,1,0.0
1-1,0.8192107222635889,19,4,0.0
1-1,0.8192107222635889,18,7,0.0
1-1,0.8192107222635889,17,3,0.0
1-1,0.8192107222635889,16,3,0.0
1-1,0.8192107222635889,15,4,0.0
1-1,0.8192107222635889,14,11,0.0
1-1,0.8192107222635889,13,6,0.0
1-1,0.8192107222635889,12,17,0.0
1-1,0.8192107222635889,11,21,0.0
1-1,0.8192107222635889,10,19,0.0
1-1,0.8192107222635889,9,10,0.0
1-1,0.8192107222635889,8,29,0.0
1-1,0.8192107222635889,7,39,0.0
1-1,0.8192107222635889,6,37,0.0
1-1,0.8192107222635889,5,60,0.0
1-1,0.8192107222635889,4,91,0.0
1-1,0.8192107222635889,3,155,0.0
1-1,0.8192107222635889,2,281,0.0
