# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:13:18.568628
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9913551786596411,11140,1,0.0
1-1,0.9913551786596411,255,1,0.0
1-1,0.9913551786596411,90,1,0.0
1-1,0.9913551786596411,71,1,0.0
1-1,0.9913551786596411,23,1,0.0
1-1,0.9913551786596411,18,1,0.0
1-1,0.9913551786596411,14,1,0.0
1-1,0.9913551786596411,12,3,0.0
1-1,0.9913551786596411,11,4,0.0
1-1,0.9913551786596411,10,2,0.0
1-1,0.9913551786596411,9,1,0.0
1-1,0.9913551786596411,8,2,0.0
1-1,0.9913551786596411,7,3,0.0
1-1,0.9913551786596411,6,4,0.0
1-1,0.9913551786596411,5,7,0.0
1-1,0.9913551786596411,4,15,0.0
1-1,0.9913551786596411,3,25,0.0
1-1,0.9913551786596411,2,45,0.0
