# Gyration Radius Results
# Date: 2025-04-04 17:13:18.567758
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9913551786596411,11140,50.096029471067425,0.0
1-1,0.9913551786596411,255,9.18877840611545,0.0
1-1,0.9913551786596411,90,4.8004757994634835,0.0
1-1,0.9913551786596411,71,5.44668119541025,0.0
1-1,0.9913551786596411,23,2.20842175638266,0.0
1-1,0.9913551786596411,18,2.088327347690278,0.0
1-1,0.9913551786596411,14,2.2901742202687707,0.0
1-1,0.9913551786596411,12,2.564393166549275,0.0
1-1,0.9913551786596411,11,2.1811702311507326,0.0
1-1,0.9913551786596411,10,1.4652038135485783,0.0
1-1,0.9913551786596411,9,1.7284832429004495,0.0
1-1,0.9913551786596411,8,1.4166483380749777,0.0
1-1,0.9913551786596411,7,1.506976148280416,0.0
1-1,0.9913551786596411,6,1.143854846451118,0.0
1-1,0.9913551786596411,5,1.1152051343449603,0.0
1-1,0.9913551786596411,4,0.9321829271747613,0.0
1-1,0.9913551786596411,3,0.7505714186528598,0.0
1-1,0.9913551786596411,2,0.5,0.0
